Field1_text,Text
Faf Du Plessis ,Chennai Super Kings
Ruturaj Gaikwad ,Chennai Super Kings
Moeen Ali ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Robin Uthappa ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Josh Hazlewood ,Chennai Super Kings
Shubman Gill ,Kolkata Knight Riders
Venkatesh Iyer ,Kolkata Knight Riders
Rahul Tripathi ,Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Eoin Morgan (c),Kolkata Knight Riders
Dinesh Karthik (wk),Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Lockie Ferguson ,Kolkata Knight Riders
Varun Chakaravarthy ,Kolkata Knight Riders
Shivam Mavi ,Kolkata Knight Riders
Virat Kohli (c),Royal Challengers Bangalore
Devdutt Padikkal ,Royal Challengers Bangalore
K.s Bharat (wk),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Glenn Maxwell ,Royal Challengers Bangalore
Shahbaz Ahmed ,Royal Challengers Bangalore
Dan Christian ,Royal Challengers Bangalore
George Garton ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Shikhar Dhawan ,Delhi Capitals
Prithvi Shaw ,Delhi Capitals
Shreyas Iyer ,Delhi Capitals
Rishabh Pant (c)(wk),Delhi Capitals
Tom Curran ,Delhi Capitals
Shimron Hetmyer ,Delhi Capitals
Axar Patel ,Delhi Capitals
Ravichandran Ashwin ,Delhi Capitals
Kagiso Rabada ,Delhi Capitals
Avesh Khan ,Delhi Capitals
Anrich Nortje ,Delhi Capitals
Virat Kohli (c),Royal Challengers Bangalore
Devdutt Padikkal ,Royal Challengers Bangalore
K.s Bharat (wk),Royal Challengers Bangalore
Glenn Maxwell ,Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Shahbaz Ahmed ,Royal Challengers Bangalore
Dan Christian ,Royal Challengers Bangalore
George Garton ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Jason Roy ,Sunrisers Hyderabad
Wriddhiman Saha (wk),Sunrisers Hyderabad
Priyam Garg ,Sunrisers Hyderabad
Manish Pandey (c),Sunrisers Hyderabad
Abhishek Sharma ,Sunrisers Hyderabad
Jason Holder ,Sunrisers Hyderabad
Abdul Samad ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Mohammad Nabi ,Sunrisers Hyderabad
Umran Malik ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Shubman Gill ,Kolkata Knight Riders
Venkatesh Iyer ,Kolkata Knight Riders
Rahul Tripathi ,Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Eoin Morgan (c),Kolkata Knight Riders
Dinesh Karthik (wk),Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Lockie Ferguson ,Kolkata Knight Riders
Varun Chakaravarthy ,Kolkata Knight Riders
Shivam Mavi ,Kolkata Knight Riders
Faf Du Plessis ,Chennai Super Kings
Ruturaj Gaikwad ,Chennai Super Kings
Robin Uthappa ,Chennai Super Kings
Moeen Ali ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Josh Hazlewood ,Chennai Super Kings
Virat Kohli (c),Royal Challengers Bangalore
Devdutt Padikkal ,Royal Challengers Bangalore
Dan Christian ,Royal Challengers Bangalore
Glenn Maxwell ,Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
K.s Bharat (wk),Royal Challengers Bangalore
Shahbaz Ahmed ,Royal Challengers Bangalore
George Garton ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Evin Lewis ,Rajasthan Royals
Yashasvi Jaiswal ,Rajasthan Royals
Sanju Samson (c)(wk),Rajasthan Royals
Shivam Dube ,Rajasthan Royals
Glenn Phillips ,Rajasthan Royals
David Miller ,Rajasthan Royals
Rahul Tewatia ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
